id,text
2,Weather update - a cold front from Cuba that could pass over Haiti
7,Is the Hurricane over gold is it not over
8,Looking for someone but no name
9,A reports Leogane 80-90 destroyed. Only Hospital St. Cross functioning. Needs supplies desperately.
12,"says: west side of Haiti, the rest of the country today and tonight"
14,Information about the National Palace-
15,Storm at the sacred heart of jesus
16,"Please, we need tents and water. We are in Silo, Thank you!"
17,"I would like to receive the messages, thank you"
18,I am in Croix-des-Bouquets. We have health issues. They ( workers ) are in Santo 15. ( an area in the Croix-des-Bouquets )
20,"There's nothing to eat and water, we starving and thirsty."
21,I am in Petionville. I need more information regarding 4636
22,"I am in Thomassin number 32, in the area named Pyron. I would like to have some water. Thank God we are fine, but we desperately need water. Thanks"
24,"Let's do it together, need food in Delma 75, in didine area"
25,More information on the 4636 number in order for me to participate. ( To see if I can use it )
26,"A Comitee in Delmas 19, Rue ( street ) January, Impasse Charite #2. We have about 500 people in a temporary shelter and we are in say need of Water, Food, Medications, Tents and Clothes. Please stop by and see us."
27,We need food and water in Klecin 12. We are dying of hunger. Impasse Chretien Klecin 12 extended ( extension ) We are hungry and sick.
28,are you going to call me or do you want me to call or? let me know?
30,"I don't understand how to use this thing, 4636."
31,I would like to know if the earthquake is over. Thanks
32,I would like to know if one of the radio ginen Journalist died?
33,"I'm in Laplaine, I am a victim"
34,"There's a lack of water in Moleya, please informed them for me."
35,Those people who live at Sibert need food they are hungry.
36,"I want to say hello, my message is to let you know that there's an area in faustin Anhy street that has nothing, neither food, water and medicine,"
37,Can you tell me about this service
38,"People The m at Delma 2, we don't anything what so ever, please provide us with some food, water, and medicine"
39,"We are at Gressier we needs assistance right away. ASAP, Come help us."
41,How can we get water and food in Fontamara 43 quotes Tinante?
42,We need help. Carrefour has been forgotten completely. The foul odor is killing us. Just letting you know. Thanks!!
43,"Good evening, Radio one please. I would like information on Tiyous."
44,"We have a lot of problem at Delma 75 Avenue Albert Jode, those people need water and food."
45,"I'm here, I didn't find the person that I needed to send the pant by phone"
46,People have been sleeping outdoors in a field near Lilavois since 12 Jan. No coords on the Lilavois goal apparently it is near PaP
47,"We want you to know that Crossroads need help, we starving to death."
48,"How we can find food and water? we have people in many different needs, and also for medicine at Fontamara 43 quotes Tinante."
49,"Delmas 33 in Silo, need water."
50,I would like to get help at Cote Plage in Carrefour
51,"I am in Leoganes, where can I get food? Please"
52,"The Committee Miracle in the area of Alert, Street Monseigneur Guilloux, ( Streets, Alert and the cross street is Mgr Guilloux ) would like to urgently receive food, water and tents for the people in that area. Thanks"
53,"People from Dal blocked since Wednesday in the Crossroads, we having water shortage, food and medical assistance."
54,"In Jacmel, it's not working at all, because people are dying of hunger."
56,"We have no one, everybody is dead."
57,"We don't talk about Petit-Goave, Please, look into Petit-Goave."
58,"Good evening, is the earthquake end?"
60,"People in Fontamara 27 in impass area Pierre Louis having lots of difficulties, please help, ASAP."
61,"Good evening, I congratulate you for all the good work and with strength I'm listening from Matisan 1, we have water and food shortage purpose God provided his grace upon us."
62,how can we find aid and food in fontamara ( carrefour )
63,"Am listening to radio in Jacmel. Need help to remove dead bodies at Colege Trinity university, the bodies are the professors and students"
64,People from Jacmel are requesting a tractor in that area because there is a civil unrest and social disturbance in that area.
65,Im asking a general prayer for the country of Haiti.
66,"We are at KF Marotiere 85, we have food and water shortage, please send food for us."
67,I'm listening to you at Miraguan we asking the government to take exchange because one gallon of gas is 80.
68,What's up? I would like to know how the Arab is doing.
70,I am listening to radio wa in jacmel. I am asking for help to remove the dead bodies under The trinity college situated at the university inasmo. The dead bodies are those of students and teachers
71,In which transfer house does someone abroad has to go to send money to haiti
73,"For your information, There are people that are found in the rubbles of the School of Trinite, ( The Ecole Sainte Trinite in Jacmel. Cookies brought to them by Colombian dogs are keeping them alive."
74,When can we get some help in Jacmel?
78,How can we find help and food in fontamara 43 rue menos
79,"SOS SOS, please provide police officers on the streets as they are very insecure"
80,.. .. . we are here: our mother has no more water. if you are there let us know ( location not provided )
81,People needing water with baby Location : Beach 24
82,"help is needed in fond parisien, no idea where that is, aim any haitian can tell you"
83,"We're asking for water, medical supply, food"
84,"My home is at Gressier, it has almost collapsed. I would like to distroy it before it collapses completly."
85,would like to know where food and water are being distributed. ( location not provided )
86,"i am very happy, i hear god, religious hyme"
88,We are seven in the house. Located betwenn Musso and Juvenat. Dyobel-Dyobal. .. not sure The rest of The information is not clear.
90,He is a pastor and an interpreter seeking to help response teams.
91,we have problem at Paco Lazon this is General Police Department we want you to know we almost out of food and water.
92,We are in Sainte Bernadette. There are 2 areas that have not received anything. We are buying water ( warm ) for 5 gourdes.
94,"I would like to communicate with my family, I don I t have any minutes on my cell phone please help"
95,some people are sleeping outside on a field at Lilavois 50 and are dying of hunger since January 12th.
96,Friend I dont know what is going on with you for I hear of what is going on but i have not hear any news about you. I hear what happen Carrefour and petion-Ville
97,"I'm asking for help to this valley especially Santo, Sath, B"
99,"I am a driver, a mechanic ,. I want to help"
100,a lot and we don't have any news of him. We haven't even found a body so we could at least know he is dead. The hospitals need to be checked and the registry books also. Please help us!! ( This seems to be the end of another message )
101,"We have a big problem in Jacmel, we left Port-au-Prince without food, clothes and money. we are really in a critical situation."
102,We would like to receive some help in the Communal Section. There is a lot of violence.
103,I would like to know how food is distributed.
105,I can play carnival Anbasad Camp there I think this is a simple how about a creole rap group - Anbasad Camp. Does not refer to rental gold read as a cry for help. TK
106,A cold front is found over Cuba this morning. It could cross Haiti tomorrow. Isolated rain showers are expected over our region tonight.
107,simple give us cell cards ( cell phone minuts ) we cannot find cell phone cards to buy
108,Whoever sees her in the streets : she was wearing a white denim skirt and a printed black t-shirt and her hair is in a cornrow do.
110,"Please we need help, food and toiletries."
111,A weather forcast. . of a cold front in cuba and could pass through haiti by night..
112,"food water mediacation, we dont have tents to protect our selves, i am using my cistern. lovation not provided"
113,good people help us. god bless you and us too
114,"The ADJS group house in Jacmel. They are talking with people in the southeast. There are a lot of victims and people suffering, especially in Jacmel. Something about year entire house collapsing its edges. The road sot, pop in Jacmel is cut off."
115,This is a request that the aid services not forget the south-east region because there are a lot of victims and people suffering there. A number is given.
117,"Where can people in Fort Wednesday, can find food and water?"
118,( im taking a guess at this sorry its a mix of creole and french. sms.) message as i understand. whos close to mounn fort Wednesday food and water is running low. because there is a problem with people hurt. please help us.
119,We are at Fort Wednesday ( wednesday ) where can we find tents and treated water.
120,"whos next to fort Wednesday, i would like food and water please"
